DATE,EXPORT_AGENT,EXPORT_MARK,GRADE,DESTINATION,INSPECTION _CERT_NO,EXPORT_PERMIT_NO,TONS,PRICE/TON,TOTAL_VALUE_US$,VALUE_KSH,PRICE/KG_KSH,PRICE/TON_KSH,TOTAL_VALUE_KSH,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
GRADES,APRIL,MARCH,FEB,JAN,TOTAL,,,,,,,,,,,
3L,48,82,76,96,302,,,, ,,,,,,,
SSUG,674,14,691,1040,2417,,,,,,,,,,,
TOW.1,72,960,114,139,1284,,,,,,,,,,,
TOW.2,46,23,46,46,161, ,,,,,,,,,,
UG,530,909,817,945,3201,,,,,,,,,,,
UHDS,22,24,17,16,79,,,,,,,,,,,
Grand Total,1391,2010,1761,2282,7443,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,, ,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,GRADES,3L,SSUG,TOW.1,TOW.2,UG,UHDS,Grand Total,,,,,,,,
,APRIL,48,674,72,46,530,22,1391,,,,,,,,
,MARCH,82,14,960,23,909,24,2010,,,,,,,,
,FEB,76,691,114,46,817,17,1761,,,,,,,,
,JAN,96,1040,139,46,945,16,2282,,,,,,,,
,TOTAL,302,2417,1284,161,3201,79,7443,,,,,,,,
